,amenity,count
11,bench,3738
102,restaurant,2472
12,bicycle_parking,1423
47,fast_food,1147
132,waste_basket,1137
20,cafe,1066
92,post_box,972
123,toilets,552
8,bank,460
43,drinking_water,322
87,pharmacy,311
83,parking,307
84,parking_entrance,274
39,dentist,248
13,bicycle_rental,202
53,fuel,202
96,pub,189
94,post_office,188
9,bar,177
100,recycling,139
130,vending_machine,138
23,car_sharing,132
30,clinic,120
89,place_of_worship,116
41,doctors,99
6,atm,98
133,waste_disposal,82
97,public_bookcase,80
60,ice_cream,73
131,veterinary,72
105,school,71
121,telephone,68
109,shelter,65
33,community_centre,63
26,charging_station,63
52,fountain,61
67,library,51
114,social_facility,50
27,childcare,47
122,theatre,44
21,car_rental,33
48,ferry_terminal,33
24,car_wash,31
32,college,23
91,police,23
18,bureau_de_change,23
49,fire_station,22
14,bicycle_repair_station,19
72,marketplace,18
63,kindergarten,17
19,bus_station,16
127,trolley_bay,16
51,food_court,15
42,dojo,13
120,taxi,13
113,social_centre,12
79,nightclub,12
29,cinema,12
78,music_school,11
101,research_institute,11
5,arts_centre,11
31,clock,10
45,events_venue,9
17,boat_rental,9
124,townhall,9
57,hospital,8
85,parking_space,8
111,shower,8
34,compressed_air,8
10,bbq,7
119,studio,6
106,science,6
76,motorcycle_parking,6
128,university,6
64,language_school,5
36,construction,5
95,prep_school,5
115,spa,5
129,vacuum_cleaner,5
112,smoking_area,4
104,sanitary_dump_station,4
70,lounge,4
68,loading_dock,4
4,animal_shelter,4
137,workshop,3
44,driving_school,3
108,seaplane terminal,3
3,Pharmacy,2
107,scrapyard,2
35,conference_centre,2
37,courthouse,2
38,cram_school,2
93,post_depot,2
56,healthcare,2
61,internet_cafe,2
66,letter_box,2
118,stripclub,2
117,storage_rental,1
126,trash,1
125,training,1
134,waste_transfer_station,1
110,shop|clothes,1
135,water_point,1
136,watering_place,1
116,storage,1
0,ATLAS_clean_room,1
103,safety,1
99,ranger_station,1
2,Observation Platform,1
7,atm;bank,1
15,biergarten,1
16,bistro,1
22,car_rep,1
25,casino,1
28,chiropractor,1
40,disused:restaurant,1
46,family_centre,1
50,first_aid,1
54,gambling,1
55,gym,1
58,housing co-op,1
59,hunting_stand,1
62,juice_bar,1
65,leisure,1
1,EVSE,1
71,luggage_locker,1
73,meditation_centre,1
74,monastery,1
75,money_transfer,1
77,motorcycle_rental,1
80,nursery,1
81,office|financial,1
82,park,1
86,payment_terminal,1
88,photo_booth,1
90,playground,1
98,public_building,1
69,lobby,1
